Time(s),CH1(V),CH2(V),CH3(V)
1.3928E-08,-2.193572E-02,-8.848048E-02,-8.160440E-01
1.4028E-08,-2.193572E-02,-8.848048E-02,-8.160440E-01
1.4128E-08,-2.193572E-02,-8.848048E-02,-8.160440E-01
1.4228E-08,-2.193572E-02,-8.848048E-02,-8.247254E-01
1.4328E-08,-2.193572E-02,-8.848048E-02,-8.247254E-01
1.4428E-08,-2.193572E-02,-8.848048E-02,-8.247254E-01
1.4528E-08,-2.193572E-02,-8.848048E-02,-8.247254E-01
1.4628E-08,-2.193572E-02,-8.848048E-02,-8.247254E-01
1.4728E-08,-2.193572E-02,-8.848048E-02,-8.334067E-01
1.4828E-08,-2.193572E-02,-8.848048E-02,-8.334067E-01
1.4928E-08,-2.193572E-02,-8.848048E-02,-8.334067E-01
1.5028E-08,-2.193572E-02,-8.848048E-02,-8.334067E-01
1.5128E-08,-2.193572E-02,-8.848048E-02,-8.334067E-01
1.5228E-08,-2.193572E-02,-8.848048E-02,-8.334067E-01
1.5328E-08,-2.193572E-02,-8.848048E-02,-8.334067E-01
1.5428E-08,-2.193572E-02,-8.848048E-02,-8.334067E-01
1.5528E-08,-2.193572E-02,-8.848048E-02,-8.334067E-01
1.5628E-08,-2.193572E-02,-8.848048E-02,-8.334067E-01
1.5728E-08,-2.193572E-02,-8.848048E-02,-8.334067E-01
1.5828E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.5928E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.6028E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.6128E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.6228E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.6328E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.6428E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.6528E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.6628E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.6728E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.6828E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.6928E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.7028E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.7128E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.7228E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.7328E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.7428E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.7528E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.7628E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.7728E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
1.7828E-08,-2.193572E-02,-8.848048E-02,-8.507693E-01
1.7928E-08,-2.193572E-02,-8.848048E-02,-8.507693E-01
1.8028E-08,0.000000E+00,-6.636036E-02,-8.507693E-01
1.8128E-08,0.000000E+00,-6.636036E-02,-8.507693E-01
1.8228E-08,0.000000E+00,-6.636036E-02,-8.594506E-01
1.8328E-08,0.000000E+00,-6.636036E-02,-8.594506E-01
1.8428E-08,0.000000E+00,-6.636036E-02,-8.594506E-01
1.8528E-08,0.000000E+00,-6.636036E-02,-8.594506E-01
1.8628E-08,0.000000E+00,-6.636036E-02,-8.594506E-01
1.8728E-08,-2.193572E-02,-6.636036E-02,-8.594506E-01
1.8828E-08,-2.193572E-02,-6.636036E-02,-8.594506E-01
1.8928E-08,-2.193572E-02,-6.636036E-02,-8.594506E-01
1.9028E-08,-2.193572E-02,-6.636036E-02,-8.507693E-01
1.9128E-08,-2.193572E-02,-6.636036E-02,-8.507693E-01
1.9228E-08,-2.193572E-02,-6.636036E-02,-8.507693E-01
1.9328E-08,-2.193572E-02,-6.636036E-02,-8.507693E-01
1.9428E-08,-2.193572E-02,-6.636036E-02,-8.507693E-01
1.9528E-08,-2.193572E-02,-6.636036E-02,-8.507693E-01
1.9628E-08,-2.193572E-02,-6.636036E-02,-8.507693E-01
1.9728E-08,-2.193572E-02,-6.636036E-02,-8.507693E-01
1.9828E-08,-2.193572E-02,-6.636036E-02,-8.507693E-01
1.9928E-08,-2.193572E-02,-6.636036E-02,-8.507693E-01
2.0028E-08,-2.193572E-02,-6.636036E-02,-8.507693E-01
2.0128E-08,-2.193572E-02,-6.636036E-02,-8.507693E-01
2.0228E-08,-2.193572E-02,-6.636036E-02,-8.507693E-01
2.0328E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
2.0428E-08,-2.193572E-02,-8.848048E-02,-8.420880E-01
2.0528E-08,-2.193572E-02,-8.848048E-02,-8.334067E-01
2.0628E-08,-2.193572E-02,-8.848048E-02,-8.334067E-01
2.0728E-08,-2.193572E-02,-8.848048E-02,-8.334067E-01
2.0828E-08,-2.193572E-02,-1.106006E-01,-8.247254E-01
2.0928E-08,-2.193572E-02,-8.848048E-02,-8.247254E-01
2.1028E-08,-2.193572E-02,-8.848048E-02,-8.247254E-01
2.1128E-08,-2.193572E-02,-8.848048E-02,-8.247254E-01
2.1228E-08,-2.193572E-02,-8.848048E-02,-8.247254E-01
2.1328E-08,-2.193572E-02,-8.848048E-02,-8.334067E-01
2.1428E-08,-2.193572E-02,-6.636036E-02,-8.334067E-01
2.1528E-08,-2.193572E-02,-6.636036E-02,-8.334067E-01
2.1628E-08,-2.193572E-02,-6.636036E-02,-8.334067E-01
2.1728E-08,-2.193572E-02,-6.636036E-02,-8.420880E-01
2.1828E-08,-2.193572E-02,-6.636036E-02,-8.420880E-01
2.1928E-08,0.000000E+00,-6.636036E-02,-8.420880E-01
2.2028E-08,0.000000E+00,-6.636036E-02,-8.420880E-01
2.2128E-08,0.000000E+00,-6.636036E-02,-8.420880E-01
2.2228E-08,0.000000E+00,-6.636036E-02,-8.420880E-01
2.2328E-08,0.000000E+00,-6.636036E-02,-8.420880E-01
2.2428E-08,0.000000E+00,-6.636036E-02,-8.420880E-01
2.2528E-08,0.000000E+00,-6.636036E-02,-8.420880E-01
2.2628E-08,0.000000E+00,-6.636036E-02,-8.420880E-01
2.2728E-08,0.000000E+00,-6.636036E-02,-8.420880E-01
2.2828E-08,0.000000E+00,-6.636036E-02,-8.420880E-01
2.2928E-08,0.000000E+00,-6.636036E-02,-8.420880E-01
2.3028E-08,2.193572E-02,-6.636036E-02,-8.420880E-01
2.3128E-08,2.193572E-02,-6.636036E-02,-8.420880E-01
2.3228E-08,2.193572E-02,-6.636036E-02,-8.420880E-01
2.3328E-08,2.193572E-02,-6.636036E-02,-8.420880E-01
2.3428E-08,2.193572E-02,-6.636036E-02,-8.420880E-01
2.3528E-08,2.193572E-02,-6.636036E-02,-8.420880E-01
2.3628E-08,2.193572E-02,-6.636036E-02,-8.420880E-01
2.3728E-08,2.193572E-02,-6.636036E-02,-8.420880E-01
2.3828E-08,2.193572E-02,-6.636036E-02,-8.420880E-01
2.3928E-08,2.193572E-02,-6.636036E-02,-8.420880E-01
2.4028E-08,2.193572E-02,-6.636036E-02,-8.420880E-01
2.4128E-08,2.193572E-02,-6.636036E-02,-8.420880E-01
